,y_true,y_pred
0,2,1
1,2,0
2,0,0
3,0,2
4,2,0
5,2,0
6,2,2
7,1,1
8,1,1
9,1,0
10,2,2
11,1,1
12,0,0
13,0,2
14,1,1
15,0,1
16,0,1
17,2,1
18,0,0
19,2,1
20,2,1
21,2,1
22,1,1
23,0,0
24,1,0
25,0,0
26,2,0
27,2,0
28,2,1
29,0,0
30,2,0
31,2,2
32,2,2
33,1,1
34,1,1
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,1
41,2,0
42,0,2
43,2,2
44,0,0
45,1,1
46,2,0
47,2,1
48,0,1
49,1,1
50,1,1
51,1,1
52,2,0
53,2,2
54,1,0
55,0,1
56,0,0
57,0,1
58,0,2
59,1,1
60,2,0
61,2,0
62,2,0
63,0,1
64,2,0
65,2,0
66,2,2
67,2,1
68,0,0
69,2,0
70,1,1
71,1,0
72,1,1
73,1,0
74,1,0
75,0,0
76,1,2
77,1,1
78,2,2
79,1,1
80,1,1
81,2,2
82,0,0
83,2,0
84,2,1
85,2,1
86,1,1
87,0,0
88,1,1
89,1,1
90,2,1
91,0,1
92,0,2
93,1,1
94,0,2
95,0,0
96,2,0
97,2,0
98,0,1
99,2,0
100,2,1
101,2,1
102,0,1
103,2,0
104,2,0
105,0,1
106,1,1
107,1,1
108,0,1
109,0,2
110,0,2
111,2,2
112,2,2
113,0,0
114,0,1
115,2,2
116,0,0
117,1,1
118,2,1
119,1,1
120,1,1
121,0,0
122,1,1
123,0,1
124,0,2
125,2,2
126,1,1
127,2,2
128,0,0
129,0,2
130,1,2
131,2,0
132,2,0
133,1,1
134,0,0
135,0,0
136,1,2
137,1,1
138,1,1
139,0,0
140,2,1
141,2,0
142,0,0
143,1,1
144,2,0
145,2,1
146,1,0
147,0,1
148,2,0
149,1,1
150,1,1
151,2,0
152,0,1
153,1,1
154,1,1
155,2,2
156,1,1
157,2,2
158,0,0
159,1,1
160,0,0
161,0,1
162,0,0
163,1,0
164,1,1
165,0,0
166,1,1
167,0,1
168,1,1
169,0,0
170,1,1
171,0,2
172,0,1
173,0,2
174,1,1
175,1,1
176,2,1
177,1,1
178,2,0
179,1,1
180,1,1
181,1,1
182,0,1
183,1,1
184,2,0
185,0,0
186,0,1
187,2,2
188,0,1
189,1,1
190,0,1
191,0,1
192,1,2
193,1,1
194,2,1
195,0,2
196,0,2
197,2,0
198,1,0
199,2,0
200,2,0
201,0,1
202,0,0
203,0,0
204,2,1
205,1,1
206,0,0
207,1,1
208,1,1
209,2,0
210,1,0
211,2,0
212,1,1
213,0,0
214,0,1
215,0,1
216,0,2
217,2,2
218,1,0
219,0,2
220,2,0
221,2,2
222,1,1
223,2,1
224,0,0
225,0,1
226,1,1
227,0,0
